date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:33	172620/172620	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:13:09%20GMT	http://www.vitcmun.in/ExecutiveBoard/yatharthkapoor.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/yatharthkapoor.png	(from http://www.vitcmun.in/ExecutiveBoard/disec.html)
23:23:34	4517/4517	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:55:16%20GMT	http://www.vitcmun.in/ExecutiveBoard/sc.html	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/sc.html	(from http://www.vitcmun.in/)
23:23:39	187971/187971	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:11:50%20GMT	http://www.vitcmun.in/ExecutiveBoard/akshayaravindan.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/akshayaravindan.png	(from http://www.vitcmun.in/ExecutiveBoard/hrc.html)
23:23:43	139045/139045	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:13:09%20GMT	http://www.vitcmun.in/ExecutiveBoard/vigneshkanna.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/vigneshkanna.png	(from http://www.vitcmun.in/ExecutiveBoard/hrc.html)
23:23:44	60395/60395	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:44:46%20GMT	http://www.vitcmun.in/images/adeeb-DDG.jpeg	E:/fullpage/VITCMUN/www.vitcmun.in/images/adeeb-DDG.jpeg	(from http://www.vitcmun.in/)
23:23:45	2066/2066	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202018%2019:00:01%20GMT	http://www.vitcmun.in/apple-icon-57x57.png	E:/fullpage/VITCMUN/www.vitcmun.in/apple-icon-57x57.png	(from http://www.vitcmun.in/)
23:23:50	167760/167760	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:12:53%20GMT	http://www.vitcmun.in/ExecutiveBoard/pradeepvasu.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/pradeepvasu.png	(from http://www.vitcmun.in/ExecutiveBoard/hrc.html)
23:24:01	109097/109097	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:48:15%20GMT	http://www.vitcmun.in/images/Sangeet-Hospitality.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Sangeet-Hospitality.jpg	(from http://www.vitcmun.in/)
23:24:04	158600/158600	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:37:52%20GMT	http://www.vitcmun.in/images/Nikhil-CDA1.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Nikhil-CDA1.jpg	(from http://www.vitcmun.in/)
23:24:15	186778/186778	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:11:50%20GMT	http://www.vitcmun.in/ExecutiveBoard/jishnu.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/jishnu.png	(from http://www.vitcmun.in/ExecutiveBoard/aippm.html)
23:24:30	248822/248822	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:11:50%20GMT	http://www.vitcmun.in/ExecutiveBoard/aditya%20tripathi.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/aditya%20tripathi.png	(from http://www.vitcmun.in/ExecutiveBoard/aippm.html)
23:24:36	218967/218967	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:11:50%20GMT	http://www.vitcmun.in/ExecutiveBoard/rohith.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/rohith.png	(from http://www.vitcmun.in/ExecutiveBoard/aippm.html)
23:24:38	204077/204077	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:12:53%20GMT	http://www.vitcmun.in/ExecutiveBoard/saptarshimajumdar.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/saptarshimajumdar.png	(from http://www.vitcmun.in/ExecutiveBoard/sc.html)
23:24:42	40732/40732	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:47:55%20GMT	http://www.vitcmun.in/images/numan-PR.jpeg	E:/fullpage/VITCMUN/www.vitcmun.in/images/numan-PR.jpeg	(from http://www.vitcmun.in/)
23:24:42	178367/178367	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:12:17%20GMT	http://www.vitcmun.in/ExecutiveBoard/ayushr.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/ayushr.png	(from http://www.vitcmun.in/ExecutiveBoard/sc.html)
23:24:45	159187/159187	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202017%2006:12:17%20GMT	http://www.vitcmun.in/ExecutiveBoard/aravindnarayanan.png	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/aravindnarayanan.png	(from http://www.vitcmun.in/ExecutiveBoard/sc.html)
